file,sha256,bytes
agri_effects_benchmark.csv,57c948d218a2d3ba0829d52a92824d4a00c9854ef547f0ac1dcd4c93337ad2fd,1397
agri_uncertainty_mixed.csv,617613d2664d3ce873dc8510989c1dd6122ced0ad1198274834ac0743f460257,304
biochar_multiresponse.csv,b318175458dd1e4bda9b3a888d4030a083a2a5b154aa4d4e79660f336de43a2e,3509
bioinoculant_multicrop.csv,450d04ecd277f961100d578ab4da3c1737bfc5e2bfe24d37dda24ed96652d051,1969
covercrop_variability.csv,18ee63287d36fc34cc2445e1781267d5a62f9e5892a3689f7efcdbbdedd5ed4d,1058
fertilizer_dose_response.csv,0f7a2c3851966989229e0fe366f5efa12eeef5897221e9587d1eb2c12a11d1f8,5485
irrigation_climate.csv,764d75e4d3efd87d8a8938a19efa886f19dd1971b07fd417bf8245547f713bea,1697
maize_n_shared.csv,8a2afdf890f1e2dfeaa425cee4c5ae7414122345496d3c068ed732411568faa8,1900
pest_suppression_binary.csv,56f79ca7240e2d9a0ec22a71b2536a34ef96ea8fad92046645b834abaf8cf464,663
soil_management_multiresponse.csv,1e5905ca93f0d5e9ce784521a8fdd0d7ca2743c79283f2057aa7a5fbf01ec749,2790
wheat_paired_blocks.csv,e165f0d538e042f3a0a293fec1c0d7aae5d403dcef28fa4fb6400893164680bd,844
